living_room,area,age,floor,price
1,95,7,-1,35000
1,110,22,1,17500
1,120,8,2,30000
1,70,12,4,30000
1,150,20,3,12000
1,60,8,-2,16000
1,60,10,2,12500
1,75,20,1,18000
1,79,7,-1,28000
1,70,4,3,42000
1,130,20,5,12000
1,147,19,3,37000
1,115,30,1,40000
1,80,12,-1,27500
1,90,6,4,25000
1,95,25,2,27000
1,95,28,1,12500
1,120,30,2,60000
1,120,35,2,28000
1,160,27,6,40000
1,65,0,3,40000
1,100,21,6,18000
1,90,50,1,35000
1,80,25,1,18000
1,90,20,1,35000
1,125,22,3,27500
1,105,32,1,25000
1,80,35,1,38000
1,65,4,3,35000
1,75,15,3,14500
1,85,8,1,40000
1,105,9,2,29500
1,75,0,1,15000
1,75,25,3,27000
1,125,33,3,40000
1,165,10,1,65000
1,100,25,3,14000
1,95,15,2,17500
1,90,30,3,20000
1,90,10,1,9000
1,115,31,1,30000
1,60,8,3,20000
1,115,38,5,16000
1,125,40,1,55000
1,110,6,5,25500
1,55,0,1,27500
1,60,0,7,55000
1,85,4,2,28000
1,70,30,3,13000
1,92,10,1,14000
1,65,26,-2,13000
1,60,4,1,40000
1,90,10,1,20000
1,65,32,1,12000
1,110,5,1,20000
1,95,28,3,30000
1,73,15,3,24000
1,120,30,1,23000
1,160,30,4,25000
1,85,31,1,20000
1,100,28,3,23000
1,100,35,4,35000
1,85,35,3,25000
1,120,35,2,17500
1,90,20,3,18000
1,140,10,8,25000
1,95,15,4,22500
1,75,32,2,16500
1,90,20,1,24500
1,75,40,-1,18000
1,60,15,-1,20000
1,85,0,2,28000
1,80,15,2,20000
1,75,0,1,30000
1,75,38,1,16500
1,105,30,5,23000
1,90,60,4,35000
1,75,24,1,15000
1,100,1,2,22100
1,75,6,1,17500
1,100,38,5,21000
1,100,10,4,11000
1,140,28,2,48000
1,145,32,1,30000
1,85,40,2,25000
1,115,15,2,26000
1,65,35,1,20000
1,120,34,2,17500
1,100,35,1,25000
1,140,45,-2,42500
1,65,30,-1,18000
1,70,10,1,32000
1,90,29,2,21500
1,65,2,1,16000
1,95,7,1,19000
1,70,1,1,100000
1,75,16,3,15000
1,60,0,1,21000
1,80,26,2,20000
1,75,45,1,15500
1,100,32,5,18500
1,75,40,1,25000
1,85,12,1,21000
1,90,3,1,21000
1,85,30,2,29000
1,85,36,1,18000
1,105,26,2,37500
1,100,45,3,30000
1,130,30,1,23000
1,71,30,2,23500
1,55,35,-1,14500
1,60,2,8,30000
1,80,8,3,16500
1,80,30,1,15000
1,80,24,1,15000
1,100,35,2,29000
1,180,35,3,45000
1,85,30,5,17500
1,100,25,3,50000
1,115,0,3,62000
1,117,20,1,42500
1,60,15,1,17500
1,80,18,3,21000
1,100,30,2,13000
1,150,1,1,75000
1,89,7,5,51500
1,120,30,5,60000
1,75,5,1,8500
1,185,31,4,66500
1,100,10,3,25000
1,105,5,4,35000
1,130,25,4,35000
1,60,15,4,13500
1,65,11,-1,23000
1,85,41,1,16000
1,135,2,3,30000
1,115,5,4,40000
1,85,15,1,19000
1,68,10,7,26500
1,90,14,1,26000
1,145,23,1,43000
1,80,9,1,17000
1,143,2,4,60000
1,130,2,7,80000
1,128,20,4,22500
1,70,0,2,35000
1,105,10,2,22000
1,60,55,1,29000
1,140,21,3,32000
1,60,13,3,19000
1,115,5,7,45000
1,95,30,3,15000
1,125,1,5,40000
1,110,4,1,100000
1,137,12,7,40000
1,95,30,1,25000
1,110,35,1,50000
1,45,7,1,18000
1,186,6,5,38000
1,110,10,2,30500
1,120,30,1,30000
1,220,17,5,55000
1,85,24,1,15000
1,85,8,1,20000
1,125,43,6,50000
1,150,25,4,55000
1,80,12,1,25000
1,100,30,-1,61000
1,120,9,3,36000
1,110,25,2,30000
1,135,11,2,60000
1,130,9,4,42000
1,95,7,1,22000
1,115,13,8,26000
1,75,10,2,27000
1,130,10,-3,8000
1,90,5,1,42000
1,140,16,7,100000
1,120,5,5,23000
1,100,0,1,40000
1,115,0,3,72000
1,195,25,1,85000
1,82,5,1,44000
1,119,4,5,85000
1,75,0,4,40000
1,65,15,-1,16000
1,110,31,1,20000
1,62,15,5,49000
1,110,3,2,35000
1,165,25,3,70000
1,120,40,1,25000
1,125,10,2,30000
1,97,11,2,42000
1,190,4,4,80000
1,150,0,5,36000
1,82,7,3,26000
1,65,11,5,22000
1,155,27,5,75000
1,95,30,2,19000
1,145,10,7,100000
1,100,25,1,36500
1,150,35,5,85000
1,90,4,1,15500
1,145,35,3,26000
1,90,40,1,50000
1,90,29,2,22000
1,70,4,1,30000
1,75,1,7,26000
1,190,1,5,100000
1,190,15,6,35000
1,101,13,8,25000
1,120,30,2,35000
1,125,4,1,90000
1,150,5,4,35000
1,125,5,5,75000
1,85,8,1,17000
1,85,0,1,40000
1,150,31,2,72500
1,144,17,6,65000
1,110,19,3,65000
1,60,0,2,20000
1,85,0,-1,32000
1,120,34,3,64000
1,70,8,1,21000
1,120,7,1,13000
1,135,22,3,42000
1,120,35,5,34000
1,85,10,3,65000
1,65,40,1,16500
1,95,15,4,14000
1,65,14,1,26500
1,80,25,1,20000
1,80,13,4,47500
1,135,0,6,100000
1,70,31,1,75000
1,115,8,1,75000
1,65,7,1,24500
1,80,4,6,50000
1,90,34,1,30000
1,154,1,0,70000
1,135,28,3,47000
1,69,9,1,32500
1,80,5,1,19500
1,80,30,1,25000
1,95,2,4,18000
1,140,15,2,50000
1,180,1,1,84000
1,110,25,7,49500
1,110,30,3,13000
1,124,2,1,55000
1,135,30,1,23500
1,90,2,2,31000
1,90,8,1,23500
1,120,10,2,30000
1,110,15,3,33000
1,130,4,6,67500
1,125,1,4,55000
1,85,35,1,18000
1,90,40,3,50000
1,160,32,3,72000
1,130,28,1,28000
1,155,29,2,22000
1,100,35,3,53000
1,114,5,5,39999
1,125,25,2,32000
1,130,24,3,25000
1,226,13,3,100000
1,55,7,7,29000
1,120,0,5,50000
1,62,12,4,29000
1,80,4,1,35000
1,140,7,2,27000
1,80,0,3,50000
1,70,30,1,14500
1,85,31,1,15000
1,150,45,1,60000
1,150,11,7,36000
1,115,23,6,25000
1,130,0,4,58000
1,55,13,1,25000
1,115,10,4,38000
1,63,11,1,12500
1,70,34,1,21000
1,85,35,1,29000
1,135,4,1,75000
1,145,10,4,35000
1,128,45,6,52500
1,95,7,4,22500
1,130,40,5,35000
1,119,40,3,22300
1,95,7,1,23500
1,85,38,5,16000
1,85,8,5,42000
1,57,26,5,30000
1,60,9,-1,21000
1,140,42,3,45000
1,120,30,3,29500
1,80,35,1,35000
1,60,20,3,19000
1,190,26,3,46000
1,120,30,-1,28000
1,135,28,2,42000
1,68,9,3,38000
1,125,18,2,28000
1,125,38,3,85000
1,135,20,7,30000
1,140,25,6,32000
1,160,0,8,80000
1,90,13,2,26000
1,85,11,-1,28000
1,135,4,1,60000
1,90,37,1,100000
1,90,0,3,26000
1,120,40,1,55000
1,150,30,-3,87500
1,200,13,1,68000
1,173,2,3,55000
1,130,8,4,37000
1,110,30,1,20000
1,68,8,3,37000
1,130,25,1,17500
1,110,30,2,30000
1,90,15,1,25500
1,70,4,1,26000
1,100,30,1,17500
1,140,38,5,62000
1,105,18,5,28000
1,200,5,5,100000
1,110,35,5,26000
1,95,23,4,21000
1,110,40,7,35000
1,70,12,5,18200
1,85,30,1,20000
1,202,1,0,50000
1,58,6,2,25000
1,145,35,2,46500
1,48,7,3,20000
1,80,28,4,26500
1,155,9,8,105000
1,80,3,2,25000
1,134,10,3,48000
1,145,40,3,46500
1,180,0,3,35000
1,120,30,2,40000
1,150,10,1,50000
1,125,0,1,51000
1,90,35,2,65000
1,85,60,5,105000
1,75,11,1,20000
1,140,27,-1,35000
1,110,0,7,62000
1,85,5,1,42000
1,105,45,2,25000
1,85,35,1,17000
1,75,6,4,37000
1,135,30,3,18500
1,130,8,5,35000
1,80,28,2,16000
1,78,7,5,39500
1,180,12,7,80000
1,75,5,1,11000
1,125,8,7,45000
1,80,10,2,34000
1,64,6,3,23500
1,65,5,1,30000
1,90,25,1,17000
1,95,35,2,25000
1,70,23,5,25000
1,30,5,1,28000
1,60,15,6,37000
1,40,40,-2,13000
1,60,9,3,35000
1,125,4,3,24000
1,140,27,2,41000
1,75,45,1,26000
1,135,35,4,38500
1,135,35,4,38500
1,55,0,4,44000
1,90,0,3,23000
1,120,20,4,27000
1,75,30,2,15000
1,119,0,1,68000
1,165,25,3,25000
1,85,5,1,35000
1,168,6,2,45000
1,90,21,5,12000
1,69,2,8,60000
1,150,16,1,95000
1,85,10,1,25000
1,100,29,4,25000
1,75,8,1,34500
1,110,19,1,18500
1,75,6,1,35000
1,67,10,1,18000
1,170,10,5,22500
1,155,26,1,48000
1,90,9,2,13000
1,95,30,2,18000
1,80,42,3,18000
1,120,18,4,42000
1,127,10,8,22500
1,150,12,5,55000
1,178,30,5,55000
1,80,30,1,55000
1,120,8,6,38000
1,96,2,4,45000
1,165,26,6,90000
1,151,30,5,32500
1,70,7,1,22000
1,185,3,4,46000
1,130,30,2,25000
1,160,38,4,52500
1,65,10,5,28000
1,90,30,2,20000
1,80,40,3,16000
1,115,15,3,35000
1,180,14,3,90000
1,90,30,5,29000
1,90,39,5,105000
1,60,40,1,15000
1,105,3,1,27000
1,70,6,2,16500
1,120,37,2,40000
1,120,5,5,18000
1,210,0,4,75000
1,130,50,5,80000
1,120,40,4,32000
1,150,31,2,85000
1,85,30,5,21000
1,150,28,1,55000
1,95,32,1,23000
1,75,8,1,27500
1,135,19,8,32000
1,85,2,1,31000
1,60,29,4,22000
1,45,9,1,36000
1,75,40,2,17000
1,130,30,4,50000
1,80,8,-1,33500
1,105,7,7,95000
1,70,10,1,35000
1,110,35,2,55000
1,90,32,2,22500
1,155,12,5,34000
1,85,40,1,40000
1,60,25,2,20000
1,60,15,1,19000
1,150,23,0,35000
1,90,8,5,15000
1,140,15,4,26000
1,125,35,3,33000
1,90,5,5,100000
1,90,21,1,47500
1,85,35,1,18000
1,120,35,5,50000
1,125,40,-1,27500
1,180,26,3,58000
1,120,30,2,29000
1,80,28,3,35000
1,70,10,1,18000
1,150,36,4,32000
1,55,9,1,15900
1,80,28,-2,23000
1,110,7,3,65000
1,85,7,4,35000
1,125,35,3,37500
1,70,13,5,19000
1,85,26,4,27000
1,50,12,1,25000
1,65,5,1,22000
1,70,3,2,27000
1,110,3,1,21000
1,130,35,2,40000
1,60,30,1,30000
1,65,10,3,20500
1,50,35,1,17500
1,130,40,4,49000
1,75,8,1,23000
1,85,23,1,25000
1,130,30,3,42000
1,120,33,4,25000
1,129,31,4,38000
1,160,32,2,40000
1,70,8,4,18000
1,120,29,3,62000
1,90,38,1,32000
1,75,10,3,25000
1,85,35,1,25000
1,71,10,4,20000
1,55,24,1,30000
1,125,49,2,50000
1,120,35,1,30000
1,53,10,7,28000
1,150,45,4,36000
1,135,17,5,26000
1,120,36,5,45000
1,80,11,1,17500
1,105,29,1,25000
1,80,15,1,26000
1,90,3,2,28000
1,160,30,1,85000
1,75,40,1,28000
1,50,5,1,30000
1,45,9,3,33000
1,81,50,2,30000
1,125,15,2,26000
1,110,4,4,40000
1,95,40,3,28000
1,100,7,4,25000
1,135,45,1,45000
1,60,10,-2,18000
1,140,40,7,80000
1,90,45,5,21500
1,100,30,6,20000
1,100,35,4,40000
1,94,39,2,37000
1,95,30,4,17000
1,75,28,4,15000
1,50,45,1,30000
1,178,10,1,70000
1,65,5,2,19500
1,120,35,-2,67500
1,155,20,1,58000
1,45,30,2,27500
1,85,1,1,25000
1,110,25,3,20000
1,85,20,5,20000
1,80,4,1,50000
1,75,8,1,16500
1,98,5,8,45000
1,98,33,1,30000
1,89,3,2,18000
1,70,10,1,39500
1,75,6,1,22000
1,120,15,4,33000
1,110,17,1,40000
1,90,27,3,26000
1,135,12,1,43500
1,150,34,2,55000
1,140,27,1,21000
1,135,25,3,37000
1,90,28,1,30000
1,125,6,8,65000
1,60,0,4,48000
1,110,0,2,38000
1,120,20,4,40000
1,90,40,4,40000
1,58,29,4,18500
1,80,25,3,25000
1,130,26,2,20000
1,70,30,1,15000
1,130,20,5,40000
1,180,25,2,70000
1,68,4,1,25000
1,90,40,2,20000
1,75,7,3,37000
1,105,11,5,35000
1,100,35,2,30000
1,65,16,1,15000
1,135,26,8,28900
1,150,15,1,34000
1,91,15,1,48000
1,60,5,1,43000
1,85,6,8,80000
1,110,28,3,25000
1,60,7,8,18000
1,75,40,1,15000
1,90,17,1,18000
1,85,40,2,17000
1,88,8,3,25000
1,220,24,5,63000
1,90,4,1,25000
1,95,30,5,25000
1,120,8,3,25000
1,125,28,1,65000
1,65,0,5,60000
1,165,0,6,70000
1,70,20,1,17500
1,44,7,5,34000
1,120,30,1,40000
1,65,7,1,24500
1,75,7,5,35000
1,140,15,2,37000
1,65,17,-1,25000
1,60,9,1,18000
1,140,21,1,23500
1,80,10,0,22000
1,135,31,6,105000
1,105,25,1,41000
1,90,40,5,25000
1,120,40,3,30000
1,110,7,3,35000
1,110,0,3,21000
1,150,45,1,35000
1,176,25,3,43000
1,60,8,3,16000
1,85,20,1,27000
1,120,22,3,26000
1,120,21,5,30000
1,140,28,4,40000
1,150,28,4,50000
1,120,38,2,42000
1,80,10,4,25000
1,150,35,1,40000
1,50,4,4,24000
1,85,9,2,32000
1,80,16,4,20000
1,90,25,3,28000
1,80,30,1,18000
1,85,8,7,24000
1,70,23,1,25000
1,80,45,-1,40000
1,100,0,3,25000
1,150,0,1,30000
1,140,23,3,42500
1,105,30,1,15000
1,80,9,1,31000
1,90,25,1,25000
1,60,5,2,55000
1,82,30,3,18000
1,140,25,3,35000
1,80,22,1,18000
1,60,0,5,38000
1,140,40,4,39000
1,74,30,1,25000
1,150,29,2,43000
1,100,40,2,50000
1,80,4,1,24000
1,80,40,3,25000
1,80,0,2,23000
1,110,3,2,33000
1,65,10,1,18000
1,85,28,4,60000
1,106,45,4,26500
1,47,7,3,43000
1,110,32,3,32500
1,90,4,1,24000
1,175,35,2,95000
1,67,32,4,25500
1,70,15,3,50000
1,110,40,2,40000
1,75,50,1,26000
1,75,23,1,20000
1,75,40,5,17000
1,110,45,4,35000
1,75,17,1,21000
1,65,7,1,20000
1,80,13,3,39500
1,130,35,3,40000
1,100,0,3,50000
1,135,5,1,50000
1,88,20,1,23000
1,70,4,3,49000
1,60,20,1,15500
1,65,5,1,19500
1,100,5,4,55000
1,75,2,4,80000
1,85,50,2,30000
1,80,28,3,14000
1,85,20,2,25000
1,120,18,1,45000
1,60,26,1,45000
1,110,50,1,33000
1,95,28,1,24000
1,100,7,3,28000
1,55,19,1,21000
1,110,0,3,31000
1,65,11,2,25000
1,90,40,4,22000
1,110,31,2,45000
1,85,38,1,22000
1,50,13,5,20000
1,95,12,3,30000
1,127,0,3,32500
1,80,9,1,40000
1,65,4,2,25000
1,80,2,4,32500
1,90,14,1,19000
1,110,28,1,14000
1,85,20,1,21000
1,100,25,3,25000
1,90,32,1,30000
1,105,17,1,30000
1,113,15,3,38000
1,55,0,1,30000
1,75,0,1,21000
1,130,38,2,45000
1,70,6,1,20000
1,160,35,2,45000
1,110,10,1,32950
1,100,5,3,18500
1,160,27,6,40000
1,100,29,1,21500
1,120,45,2,20000
1,90,40,1,23000
1,66,1,3,26000
1,80,45,3,16500
1,65,5,1,26000
1,180,11,4,35000
1,123,1,1,85000
1,60,7,1,30000
1,91,35,2,20000
1,65,9,1,22000
1,110,5,5,26000
1,95,29,3,29800
1,180,32,4,57000
1,120,32,5,10000
1,85,30,1,26000
1,90,55,4,40000
1,100,20,3,14100
1,170,25,7,80000
1,125,35,5,38000
1,120,25,2,33000
1,85,6,-1,27000
1,120,24,5,30000
1,135,35,4,67500
1,110,35,1,33000
1,65,4,-1,19500
1,130,35,2,25000
1,75,30,4,16500
1,70,5,6,35000
1,85,30,4,16500
1,90,22,2,25000
1,60,30,1,18000
1,110,45,2,60000
1,120,5,2,31000
1,90,45,3,21500
1,110,40,3,50000
1,85,30,-1,14000
1,125,25,3,32000
1,120,40,2,30000
1,174,0,5,85000
1,145,45,5,45000
1,95,5,1,26000
1,50,5,1,23000
1,85,25,2,15500
1,85,25,5,17500
1,85,35,2,28000
1,150,6,1,44000
1,125,29,4,27000
1,220,16,3,50000
1,60,25,1,21000
1,95,40,2,40000
1,136,16,8,70000
1,120,28,3,36000
1,85,35,2,29000
1,130,50,1,30000
1,50,30,1,16000
1,110,10,2,19000
1,100,28,2,13000
1,80,25,1,17500
1,145,28,2,20000
1,120,40,3,25000
1,55,28,1,35000
1,75,35,3,18000
1,85,42,3,25000
1,90,30,5,17000
1,120,23,5,15500
1,90,20,2,22500
1,75,5,6,40000
1,55,15,1,13000
1,90,27,4,16000
1,80,30,3,12000
1,150,23,4,40000
1,65,5,1,19500
1,100,20,1,18500
1,70,43,2,46500
1,165,27,3,30000
1,105,20,7,25000
1,100,26,4,21000
1,110,31,3,57000
1,95,8,1,23500
1,110,9,3,6500
1,100,31,4,22000
1,55,28,2,35000
1,150,35,4,25000
1,135,40,-3,90000
1,75,29,6,16000
1,120,7,4,65000
1,80,10,1,32500
1,50,1,3,45000
1,118,28,2,45000
1,90,0,3,23000
1,85,10,3,30000
1,135,4,1,25500
1,120,7,1,24500
1,115,15,6,26000
1,105,15,4,30000
1,90,45,1,22000
1,70,4,2,60000
1,85,30,2,17000
1,65,4,3,33000
1,200,25,2,75000
1,74,30,1,17500
1,90,40,1,14000
1,56,4,5,50000
1,100,40,2,45000
1,83,39,4,18000
1,100,30,5,28000
1,68,47,1,19000
1,65,7,3,17000
1,80,10,-2,17000
1,75,4,1,15000
1,95,30,4,25000
1,75,28,1,11950
1,80,27,1,14000
1,50,21,1,25000
1,75,50,3,25000
1,130,40,1,60000
1,130,0,2,65000
1,95,30,2,13500
1,90,6,1,20000
1,50,30,3,22500
1,110,28,4,20000
1,115,0,1,45000
1,65,5,1,25000
1,85,0,4,35500
1,95,27,3,22000
1,78,8,3,37000
1,130,28,4,42000
1,90,55,5,42500
1,65,15,1,32000
1,55,0,2,32000
1,175,30,3,75000
1,100,0,1,25500
1,120,40,2,30000
1,80,0,-1,25000
1,65,40,1,16000
1,65,40,1,16000
1,160,15,0,60000
1,95,30,2,26000
1,65,10,3,15000
1,110,40,2,22000
1,60,30,-1,12000
1,75,29,4,22000
1,62,3,1,18000
1,80,7,-1,28000
1,200,32,5,80000
1,80,2,1,42000
1,80,40,1,14000
1,70,31,4,35000
1,110,27,1,19000
1,74,15,2,30000
1,75,8,8,18500
1,120,12,3,80000
1,50,30,2,18500
1,100,8,3,19000
1,100,35,4,14000
1,85,45,-1,17000
1,90,0,1,10000
1,75,42,-1,12000
1,90,35,1,16000
1,85,20,3,17500
1,160,28,3,55000
1,82,5,5,25000
1,75,40,1,19500
1,110,13,2,25500
1,90,30,2,43000
1,110,26,5,26000
1,63,7,2,29800
1,80,45,1,22000
1,80,40,5,26000
1,130,25,4,25000
1,130,29,2,25000
1,75,35,1,15000
1,110,33,4,25000
1,85,26,2,32000
1,85,21,4,21000
1,75,35,1,15000
1,60,35,1,27000
1,85,40,3,24000
1,100,20,2,30000
1,100,4,4,16000
1,160,25,5,37500
1,85,37,-1,23000
1,75,38,1,20000
1,80,38,3,20000
1,70,10,1,28000
1,85,25,2,20500
1,80,35,-1,32500
1,45,40,2,33000
1,90,4,3,20000
1,90,60,5,50000
1,130,25,4,49000
1,95,27,1,15000
1,140,40,3,75000
1,50,20,1,14000
1,80,20,0,10000
1,66,8,1,40000
1,100,25,3,15000
1,90,18,3,15000
1,100,12,1,19000
1,80,40,5,20000
1,110,11,1,20000
1,110,45,5,22500
1,95,3,1,55000
1,90,20,1,25000
1,70,35,1,18000
1,90,8,2,21000
1,90,35,4,22000
1,65,6,1,26000
1,60,0,4,40000
1,125,20,1,30000
1,65,7,1,26000
1,130,35,3,20000
1,85,35,4,24500
1,125,11,2,70000
1,65,5,-2,25000
1,130,19,3,35000
1,85,30,1,30000
1,45,6,1,20000
1,45,9,-1,25000
1,150,20,3,37500
1,80,25,1,34000
1,125,30,1,45000
1,80,5,3,25000
1,150,6,1,25000
1,53,0,1,22500
1,88,6,7,50000
1,110,25,2,19000
1,155,29,3,75500
1,85,4,1,9000
1,132,16,3,23000
1,85,30,6,50000
1,95,30,1,20000
1,70,25,8,34500
1,135,20,3,20000
1,75,7,6,12000
1,70,15,3,26000
1,100,13,3,25000
1,95,27,3,12000
1,80,9,-1,15000
1,60,6,3,36000
1,135,17,4,50000
1,110,50,4,25000
1,45,7,1,17000
1,150,7,4,35000
1,75,10,2,34500
1,63,12,3,22500
1,90,35,1,50000
1,85,20,2,17000
1,55,0,1,27000
1,145,25,4,28000
1,75,25,3,15000
1,160,28,1,35000
1,70,45,3,15000
1,90,30,2,21000
1,50,22,-1,15000
1,110,35,2,25000
1,200,15,1,57000
1,65,31,1,22500
1,100,30,1,50000
1,140,4,4,42000
1,130,16,4,15000
1,80,44,1,28000
1,120,12,1,52000
1,85,0,3,35500
1,95,31,3,33000
1,100,40,4,30000
1,75,4,2,32000
1,110,20,1,30000
1,145,26,8,27000
1,140,27,1,35000
1,75,31,4,25000
1,70,3,7,20000
1,150,30,4,49000
1,85,0,4,38000
1,66,1,3,26000
1,90,50,1,25000
1,95,30,2,26000
1,80,0,2,26000
1,150,25,5,50000
1,110,40,1,32000
1,100,22,2,18000
1,90,18,5,27000
1,70,31,3,28500
1,115,25,3,20000
1,98,2,1,17000
1,75,0,3,25000
1,140,20,4,31000
1,85,32,1,25000
1,41,30,1,25000
1,90,25,5,25000
1,75,35,1,26000
1,90,30,3,30000
1,185,22,1,37000
1,110,45,4,30000
1,80,9,1,24000
1,85,6,1,32500
1,70,25,2,21000
1,140,20,3,19750
1,85,31,2,23000
1,85,35,1,30000
1,80,30,3,24000
1,80,30,1,15000
1,125,30,4,25500
1,110,26,5,13500
1,140,5,3,85000
1,110,24,3,16000
1,50,5,3,16000
1,64,8,2,47500
1,85,15,1,17000
1,75,35,3,16000
1,90,31,2,25500
1,100,32,2,18000
1,100,8,1,25000
1,110,20,5,30000
1,55,1,2,26000
1,95,30,3,26000
1,95,30,1,30000
1,100,35,1,25000
1,75,5,2,13000
1,170,5,2,40000
1,100,60,2,70000
1,130,30,1,16000
1,90,15,1,21000
1,130,8,1,32000
1,155,30,3,80000
1,65,31,3,30000
1,95,0,4,18000
1,80,31,1,37500
1,100,45,2,32000
1,50,7,7,22000
1,140,5,-1,18500
1,75,50,5,17000
1,70,12,1,35000
1,120,10,1,12000
1,148,0,2,100000
1,85,13,-3,13500
1,85,30,1,24000
1,90,30,2,15000
1,60,30,1,17500
1,100,4,1,12000
1,80,25,4,20000
1,80,35,1,18000
1,160,31,4,60000
1,100,34,1,22000
1,90,12,3,35000
1,150,40,4,32000
1,120,35,1,30000
1,65,40,2,15000
1,95,30,1,22000
1,140,20,4,17000
1,93,25,1,15000
1,135,17,3,70000
1,110,17,1,25000
1,75,5,1,20000
1,140,0,7,75000
1,140,0,7,75000
1,80,4,3,45000
1,125,0,3,55000
1,110,40,3,24000
1,166,4,4,78000
1,95,15,1,20000
1,110,8,4,65000
1,130,25,1,30000
1,150,46,3,52500
1,65,35,1,25000
1,95,30,5,18750
1,135,13,1,12000
1,100,35,1,28000
1,115,37,4,35000
1,75,7,2,12000
1,120,12,1,18000
1,95,30,1,15000
1,85,13,3,21000
1,170,28,4,75000
1,80,34,4,25000
1,125,35,3,45000
1,65,23,1,20000
1,128,11,1,40000
1,92,26,4,20000
1,80,0,2,25000
1,60,4,1,40000
1,96,15,8,60000
1,100,24,3,25000
1,115,38,5,16000
1,117,0,3,60000
1,95,2,4,35000
1,90,26,1,16000
1,76,4,3,50000
1,90,0,1,55000
1,120,30,1,39500
1,95,10,1,20000
1,95,10,1,20000
1,60,40,2,26000
1,70,0,3,20000
1,80,40,1,23000
